ts_code,ann_date,end_date,current_ratio,quick_ratio,cash_ratio,inv_turn,ar_turn,ca_turn,netprofit_margin,grossprofit_margin,roe,debt_to_assets,op_yoy,ebt_yoy,assets_yoy,tr_yoy,or_yoy,q_gr_yoy,q_gr_qoq,q_sales_yoy,q_sales_qoq,q_op_yoy,q_op_qoq,q_profit_yoy,q_profit_qoq,revenue
002136.SZ,2019-08-20,2019-06-30,1.7478,1.126,1.0957,3.2638,5.2010000000000005,1.408,5.2879,14.6864,3.6911,24.3646,-51.6149,-52.519,3.4435,-14.8297,-14.8297,-22.0173,-17.4384,-22.0173,-17.4384,-23.3475,113.2705,-13.1711,139.1619,508002669.05
600779.SH,2019-07-23,2019-06-30,1.3763,0.7278,0.6997,0.2172,56.6743,0.6179,20.0958,82.2112,19.4309,57.5423,24.3593,41.9058,20.6742,26.4686,26.4686,29.2971,-18.2539,29.2971,-18.2539,3.0633,-46.6129,7.4631,-44.624,1689849608.12
002842.SZ,2019-08-30,2019-06-30,1.1239,0.6933,0.5793,1.3804,3.2268,0.6421,5.1091,14.6994,4.4735,56.0923,-22.1435,-22.7068,1.0152,-3.6626,-3.6626,-26.2168,-24.6566,-26.2168,-24.6566,-53.9762,-43.0595,-59.2411,-49.2432,744232876.58
000890.SZ,2019-08-23,2019-06-30,1.0383,1.0299,0.1536,10.8104,3.8015,0.1141,-11.2995,7.8658,-13.8257,91.9691,-289.2193,-289.3453,-0.8358,-22.7426,-22.7426,-14.4564,13.1951,-14.4564,13.1951,-354.2067,-908.5229,-356.5364,-1281.5808,766443626.32
002868.SZ,2019-08-31,2019-06-30,6.7775,6.1802,5.7309,2.2652,2.782,0.3014,17.7477,30.6713,3.447,9.9527,-39.897,-40.0645,1.9242,-14.5327,-14.5327,-3.7143,11.7262,-3.7143,11.7262,-31.9769,63.3266,-35.3382,36.7193,143624507.33
300638.SZ,2019-08-29,2019-06-30,1.5173,1.2827,1.1587,4.7182,2.4527,0.8792,9.3803,27.1001,16.8692,57.7019,280.8522,286.3376,19.5171,59.3705,59.3705,36.519,6.9376,36.519,6.9376,174.1848,1.8143,171.763,9.5944,859051707.23
002236.SZ,2019-08-17,2019-06-30,1.711,1.4441,1.3454,2.0156,1.0134,0.5049,11.1475,40.3749,9.4656,49.4905,8.7285,9.0356,4.0869,10.1133,10.1133,4.2325,48.5458,4.2325,48.5458,13.6464,233.3649,13.4869,194.4277,10806566370.89
000965.SZ,2019-08-30,2019-06-30,2.6092,0.3297,0.3197,0.0087,26.0584,0.0143,-22.361,48.2903,-0.4859,45.104,-104.9081,-104.8632,-3.935,-89.5223,-89.5223,-49.9763,22.249,-49.9763,22.249,-85.1855,110.2699,-218.6542,71.1881,112584562.15
002379.SZ,2019-08-22,2019-06-30,1.2393,0.6924,0.5167,3.6697,6.7641,1.8452,17.840999999999994,22.1802,18.9838,36.6974,7187.5775,6074.2629,70.0414,109.0212,109.0212,131.3054,62.6376,131.3054,62.6376,9517.9637,4941.891,7858.5433,4271.4462,1478779595.27
600058.SH,2019-08-31,2019-06-30,1.2438,0.9376,0.7203,6.4656,4.6563,1.4855,0.321,3.6198,1.3898,70.3727,207.426,186.1625,8.7479,6.5327,6.525,2.9417,32.7035,2.9315,32.679,178.5816,257.7682,141.2523,216.6864,27243889729.65
300502.SZ,2019-08-22,2019-06-30,3.9734,2.7868,2.7109,1.1121,2.4948,0.4839,16.7929,31.0005,6.9338,18.1294,626.4653,643.0546,5.4397,42.9249,42.9249,61.7294,14.5462,61.7294,14.5462,511.1492,48.3208,518.9553,48.8727,480339755.1
300126.SZ,2019-08-28,2019-06-30,4.646,4.0211,0.9854,1.6032,3.1423,0.3055,1.127,17.3447,0.3012,15.7123,116.3038,116.8419,-5.4662,-13.3163,-13.3163,-28.0548,-27.7125,-28.0548,-27.7125,452.6525,282.8973,333.8742,279.2588,258544838.67
600617.SH,2019-08-27,2019-06-30,0.431,0.4125,0.3436,20.1492,4.7656,1.0009,-1.0811,17.3511,0.2834,84.8636,-60.6988,-44.9191,0.5059,16.8864,16.8864,-10.111,-57.4255,-10.111,-57.4255,-409.992,-164.4702,-89.9171,-807.1517,5877029336.36
300516.SZ,2019-08-23,2019-06-30,5.9396,3.829,3.1485,0.5215,1.6142,0.2552,11.328,31.1733,2.5895,12.6481,-11.841,-2.8754,-13.1239,21.8565,21.8565,21.2331,42.2144,21.2331,42.2144,-11.557,92.8812,5.5515,87.8933,256479049.04
300114.SZ,2019-08-30,2019-06-30,2.3115,1.8776,1.8133,1.558,1.4204,0.531,16.1469,37.4979,8.2684,31.0696,20.5136,20.6315,13.2037,11.3318,11.3318,15.9921,43.0702,15.9921,43.0702,21.7177,176.7064,25.5327,223.0031,780797187.86
300375.SZ,2019-08-30,2019-06-30,1.7718,1.3314,1.2007,1.6818,1.7712,0.5534,7.6393,23.6604,2.5974,30.1028,8.3052,8.0582,9.7033,20.1989,20.1989,13.0349,-6.8281,13.0349,-6.8281,-18.9401,-36.599,-24.8084,-40.5721,747893562.52
300079.SZ,2019-08-27,2019-06-30,5.0634,4.547,4.3683,0.7052,0.621,0.1521,12.4363,49.0992,1.4508,12.6598,3.1485,-4.5527,-5.8174,-38.3789,-38.3789,-71.0682,-58.8965,-71.0682,-58.8965,-51.0699,-91.6384,-91.6378,-98.4546,436031201.41
603317.SH,2019-08-05,2019-06-30,5.7586,5.2777,2.2197,3.0941,168.2686,0.4963,16.2986,38.6868,7.3653,14.1834,39.1865,40.56,38.4343,32.1002,32.1002,39.4259,5.8181,39.4259,5.8181,44.1615,-59.9766,51.5813,-60.3962,629450978.94
000333.SZ,2019-08-31,2019-06-30,1.4856,1.3056,0.5967,4.0349,7.2519,0.8088,10.4441,29.4784,17.2913,65.2851,15.3326,15.2181,7.7105,7.3724,7.8153,7.3301,4.4129,7.7905,4.4661,16.4464,44.6654,17.0248,45.5178,153770300000.0
000668.SZ,2019-08-28,2019-06-30,1.4852,0.1366,0.1338,0.0706,321.1635,0.1405,23.6152,58.0234,7.3148,58.04,1356.418,1275.4763,-10.5752,220.7122,220.7122,320.93,812.7665,320.93,812.7665,2002.8347,619.7941,2085.3114,419.8378,310666428.08
603636.SH,2019-08-23,2019-06-30,1.2798,0.8029999999999999,0.5768,0.6937,1.6432,0.3581,4.9929,32.94,1.4108,38.3319,28.101,25.2435,-5.1662,68.2914,68.2914,61.3442,233.9698,61.3442,233.9698,48.342,562.2716,41.4957,493.6143,464474498.29
002829.SZ,2019-08-17,2019-06-30,1.8861,1.2966,1.1805,0.2652,0.3371,0.1519,-1.8865,50.8477,0.2007,40.3991,-112.4506,-111.9228,-0.0774,-24.8888,-24.8888,-45.6091,-35.3026,-45.6091,-35.3026,-132.8933,-327.7481,-136.2115,-295.9435,131347356.48
000989.SZ,2019-08-31,2019-06-30,2.7755,2.2031,1.8701,1.159,2.1142,0.6185,10.3626,62.6657,4.2661,20.1635,-42.9753,-43.4621,-4.8712,-6.2261,-6.2261,-21.411,-19.0249,-21.411,-19.0249,-45.3953,18.2864,-48.2078,19.341,1688549461.11
002549.SZ,2019-08-28,2019-06-30,1.4567,1.3983,0.79,5.3681,4.149,0.4212,22.3278,49.6342,5.6715,36.8264,21.5075,19.6811,7.8105,3.5725,3.5725,10.0172,23.2614,10.0172,23.2614,51.9033,111.0978,45.3772,102.3923,247890804.71
600693.SH,2019-08-29,2019-06-30,1.21,0.3528,0.2744,0.6037,28.6037,0.4920000000000001,1.6486,18.9579,1.6853,69.2773,-60.5955,-60.3236,0.2022,44.9654,44.9654,45.0247,-10.4054,45.0247,-10.4054,-99.8048,-99.8904,-87.9397,-93.4476,1863797082.94
300008.SZ,2019-08-24,2019-06-30,1.0029,0.6473,0.6338,0.6087,0.4429,0.2262,-12.6295,10.4099,-5.8995,67.8743,49.3796,-164.7658,-7.2064,-40.8626,-40.8626,-3.3905,-25.1418,-3.3905,-25.1418,90.1894,62.4363,-209.0246,-602.3475,348506422.03
000681.SZ,2019-08-06,2019-06-30,1.0541,1.0541,0.7961,6.0406,2.2906,0.4308,32.5896,63.1107,4.4854,25.7578,0.363,0.101,-3.8149,-16.4917,-16.4917,-26.9748,45.3656,-26.9748,45.3656,-12.2828,45.1143,-23.861,34.6011,402142506.63
002045.SZ,2019-08-20,2019-06-30,1.3359,1.1091,1.0084,3.0499,1.7144,0.6989,10.3942,14.4595,10.6335,57.3132,1310.3684,1613.7823,-12.108,4.0071,4.0071,26.8327,34.9486,26.8327,34.9486,28204.7849,3055.25,9229.6798,5359.6392,1735802757.0
300085.SZ,2019-08-21,2019-06-30,2.0321,1.8247,1.3008,2.9094,1.3237,0.4137,-4.6851,29.8685,-1.6871,36.9517,-392.9102,-357.8473,-1.1703,-15.2992,-15.2992,-20.2188,11.6091,-20.2188,11.6091,-87.4702,109.9459,-80.7374,111.9532,539796493.99
603506.SH,2019-08-30,2019-06-30,1.4807,1.4798,0.8056,667.9454,2.2079,0.4919,10.2489,22.1022,8.6029,56.1142,32.0912,31.3829,14.6511,24.8338,24.8338,25.048,0.3637,25.048,0.3637,28.6225,6.8508,41.6583,7.0133,584912167.28
002205.SZ,2019-08-22,2019-06-30,0.9874,0.8371,0.7143,1.0874,0.4916,0.1971,0.9094,21.6036,-0.3273,66.3535,-1005.8491,257.3673,-2.2256,-12.8951,-12.8951,-7.5347,642.4423,-7.5347,642.4423,-158.8808,62.3315,110.0012,211.2176,227981533.03
000925.SZ,2019-08-16,2019-06-30,0.902,0.7559,0.7029,1.525,0.6483,0.328,2.7488,29.571,1.0539,64.1515,130.4483,129.6207,5.9333,31.7928,31.7928,8.4727,3.6114,8.4727,3.6114,421.8892,-34.9714,204.1467,-19.222,1048761269.35
300538.SZ,2019-08-21,2019-06-30,2.7923,2.4854,2.2827,8.3277,2.2525,1.0952,2.639,11.1179,3.8476,33.1373,9.5668,-5.1968,5.7444,8.2801,8.2801,15.9688,27.4558,15.9688,27.4558,20.8758,0.5249,-2.5173,-15.264,645908142.28
601398.SH,2019-08-30,2019-06-30,0.0,0.0,0.0,0.0,0.0,0.0,38.0863,0.0,7.0807,91.9011,7.0442,6.0811,8.2707,14.3151,14.3151,9.0201,-11.9265,9.0201,-11.9265,11.5242,2.6509,5.4077,4.0029,442915000000.0
300635.SZ,2019-08-30,2019-06-30,2.4427,2.4427,2.4412,0.0,0.3867,0.2775,12.6443,32.5584,4.0633,42.8096,-11.6513,-11.6845,10.5115,6.6647,6.6647,22.2767,49.0244,22.2767,49.0244,9.367,91.1933,21.2235,94.659,232574046.5
002140.SZ,2019-08-29,2019-06-30,1.347,0.9145,0.6614,0.7609999999999999,2.1772,0.2947,6.3839,15.1761,4.1341,67.132,18.1146,17.5931,11.6375,16.988,16.988,22.8443,123.3948,22.8443,123.3948,17.1945,86.0678,19.9044,86.6881,1382338908.04
002233.SZ,2019-08-06,2019-06-30,4.0215,3.5397,2.4483,3.4832,59.5576,0.5684,24.52,34.0792,7.7146,12.304,-17.4444,-18.8384,-4.1843,-5.6751,-5.6751,-18.0615,7.2581,-18.0615,7.2581,-42.5701,-34.7146,-43.7631,-35.2225,2859395076.09
000060.SZ,2019-08-29,2019-06-30,1.1153,0.8034,0.7174,3.9195,14.8378,1.2733,5.1696,9.7512,4.5166,44.9552,-36.2404,-36.1801,1.8975,-18.5634,-18.5464,-21.6014,25.957,-21.6356,25.9097,-45.3322,-29.5636,-29.2749,-18.8508,9272716016.17
000046.SZ,2019-08-28,2019-06-30,1.5155,0.8869,0.7316,0.0094,1.099,0.035,158.7909,39.6315,8.3011,82.3824,376.9891,51.2398,-13.1893,1.5994,2.1166,2.1745,-19.9291,-41.1473,-28.7711,-294.4899,-115.2349,-83.6043,-114.8493,1192648533.79
600030.SH,2019-08-23,2019-06-30,1.66,1.66,0.0,0.0,0.0,0.0,30.5812,0.0,4.17,77.9334,4.15,20.7974,10.8299,8.9965,8.9965,9.6073,7.0925,9.6073,7.0925,-14.6025,-44.3085,-23.7242,-47.0512,21791181444.02
002389.SZ,2019-08-27,2019-06-30,2.2777,1.877,1.6909999999999998,1.5294,0.6408,0.3298,4.0195,23.5188,0.5747,19.9986,16.8955,18.0163,0.3828,15.8801,15.8801,12.3708,0.7701,12.3708,0.7701,59.9405,198.8289,67.0551,222.8641,1086733731.14
002864.SZ,2019-08-20,2019-06-30,3.2591,2.9863,1.6872,1.7967,1.6173,0.4577,13.3192,70.3716,6.0256,25.2338,67.9044,24.9519,4.7744,35.9619,35.9619,42.6277,35.0055,42.6277,35.0055,99.159,122.2635,26.2703,114.7463,283262478.34
600317.SH,2019-08-23,2019-06-30,3.1734,3.1401,3.1344,36.042,9.1152,0.5923,25.8382,37.752,4.8097,19.2034,62.063,62.847,-2.4246,1.9033,1.9033,-2.7222,-8.3932,-2.7222,-8.3932,72.9184,-5.9887,71.6244,-4.2696,2302980141.29
601518.SH,2019-08-22,2019-06-30,1.7344,1.7338,1.7336,196.3016,268.0724,0.3763,24.9277,58.4621,2.4266,40.7397,-27.5041,-27.4616,-1.7788,-6.4541,-6.4541,-12.3434,4.8924,-12.3434,4.8924,-28.7531,14.3102,-29.3865,16.3181,341655120.37
