trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
2017-08-17,4.9,5.05,4.87,4.98,4.89,0.09,1.84,123589.38,61204.857
2017-08-18,4.94,4.97,4.9,4.92,4.98,-0.06,-1.2,79455.2,39185.465
2017-08-21,4.9,4.97,4.9,4.95,4.92,0.03,0.61,54208.01,26766.547
2017-08-22,4.93,4.96,4.88,4.89,4.95,-0.06,-1.21,48926.0,24033.118
2017-08-23,4.87,4.93,4.86,4.91,4.89,0.02,0.41,41387.9,20264.415
2017-08-24,4.9,4.98,4.87,4.98,4.91,0.07,1.43,91300.19,45102.039
2017-08-25,4.97,5.03,4.9,5.0,4.98,0.02,0.4,127823.41,63697.922
2017-08-28,4.99,5.06,4.96,5.04,5.0,0.04,0.8,78045.41,39302.77
2017-08-29,5.04,5.12,5.0,5.08,5.04,0.04,0.79,93909.71,47494.081
2017-08-30,5.08,5.1,5.03,5.07,5.08,-0.01,-0.2,60878.77,30832.829
2017-08-31,5.05,5.1,5.01,5.06,5.07,-0.01,-0.2,53573.75,27004.631
2017-09-01,5.04,5.06,5.01,5.04,5.06,-0.02,-0.4,36249.2,18234.749
2017-09-04,5.04,5.06,5.01,5.04,5.04,0.0,0.0,51896.34,26129.849
2017-09-05,5.06,5.18,5.05,5.15,5.04,0.11,2.18,120297.0,61768.533
2017-09-06,5.12,5.16,5.09,5.15,5.15,0.0,0.0,64109.98,32844.378
2017-09-07,5.15,5.17,5.09,5.11,5.15,-0.04,-0.78,67026.58,34320.106
2017-09-08,5.1,5.29,5.08,5.23,5.11,0.12,2.35,142074.57,73849.22
2017-09-11,5.19,5.25,5.15,5.22,5.23,-0.01,-0.19,83842.1,43654.531
2017-09-12,5.22,5.23,5.1,5.12,5.22,-0.1,-1.92,78820.2,40619.458
2017-09-13,5.09,5.14,5.07,5.09,5.12,-0.03,-0.59,61705.0,31429.813
2017-09-14,5.09,5.1,5.06,5.09,5.09,0.0,0.0,38500.09,19573.208
2017-09-15,5.09,5.12,5.05,5.1,5.09,0.01,0.2,35727.51,18162.585
2017-09-18,5.1,5.15,5.08,5.12,5.1,0.02,0.39,48534.45,24838.467
2017-09-19,5.1,5.16,5.1,5.15,5.12,0.03,0.59,54524.67,27980.315
2017-09-20,5.14,5.16,5.09,5.14,5.15,-0.01,-0.19,55535.12,28440.782
2017-09-21,5.14,5.15,5.08,5.09,5.14,-0.05,-0.97,47895.0,24473.47
