ts_code,start_date,pledge_price,forcast_close_line,close_date,current_ratio,quick_ratio,cash_ratio,inv_turn,ar_turn,ca_turn,netprofit_margin,grossprofit_margin,roe,debt_to_assets,op_yoy,ebt_yoy,assets_yoy,tr_yoy,or_yoy,q_gr_yoy,q_gr_qoq,q_sales_yoy,q_sales_qoq,q_op_yoy,q_op_qoq,q_profit_yoy,q_profit_qoq,revenue
000002.SZ,2017/12/1,28.2164,19.75148,2018/8/3,1.1805,0.522,0.4031,0.1124,66.0165,0.098,12.7602,34.4372,6.8198,84.7018,43.6705,42.2432,15.4293,51.8032,51.8032,46.7143,143.7873,46.7143,143.7873,37.6351,460.677,31.2987,559.9162,2.97679E+11
000002.SZ,2018/1/30,33.5544,23.48808,2018/5/30,1.1805,0.522,0.4031,0.1124,66.0165,0.098,12.7602,34.4372,6.8198,84.7018,43.6705,42.2432,15.4293,51.8032,51.8032,46.7143,143.7873,46.7143,143.7873,37.6351,460.677,31.2987,559.9162,2.97679E+11
000002.SZ,2018/3/27,28.4107,19.88749,2018/8/2,1.1805,0.522,0.4031,0.1124,66.0165,0.098,12.7602,34.4372,6.8198,84.7018,43.6705,42.2432,15.4293,51.8032,51.8032,46.7143,143.7873,46.7143,143.7873,37.6351,460.677,31.2987,559.9162,2.97679E+11
000002.SZ,2018/3/16,30.0666,21.04662,2018/7/18,1.1805,0.522,0.4031,0.1124,66.0165,0.098,12.7602,34.4372,6.8198,84.7018,43.6705,42.2432,15.4293,51.8032,51.8032,46.7143,143.7873,46.7143,143.7873,37.6351,460.677,31.2987,559.9162,2.97679E+11
000002.SZ,2018/3/7,30.3442,21.24094,2018/7/2,1.1805,0.522,0.4031,0.1124,66.0165,0.098,12.7602,34.4372,6.8198,84.7018,43.6705,42.2432,15.4293,51.8032,51.8032,46.7143,143.7873,46.7143,143.7873,37.6351,460.677,31.2987,559.9162,2.97679E+11
000002.SZ,2018/2/9,27.9388,19.55716,2018/8/3,1.1805,0.522,0.4031,0.1124,66.0165,0.098,12.7602,34.4372,6.8198,84.7018,43.6705,42.2432,15.4293,51.8032,51.8032,46.7143,143.7873,46.7143,143.7873,37.6351,460.677,31.2987,559.9162,2.97679E+11
000004.SZ,2017/12/18,22.51,15.757,2018/9/17,1.5424,1.3839,1.2939,2.5108,11.2296,1.4637,-2.8529,82.4253,-2.0212,40.9086,-0.4437,16.0653,24.4987,260.8262,260.8262,143.7963,28.9001,143.7963,28.9001,-162.9629,-203.4125,-255.0424,-388.3309,106952791
000005.SZ,2017/9/15,5.18,3.626,2018/4/16,0.8606,0.5579,0.5303,0.8307,2.9921,0.5002,4.32,34.7475,1.1753,51.7747,-56.7386,-54.2786,15.2287,10.1811,10.1811,64.9545,95.8765,64.9545,95.8765,414.044,1138.9852,236.4657,753.6531,273789911.7
000005.SZ,2017/2/21,6.58,4.606,2017/11/3,0.8606,0.5579,0.5303,0.8307,2.9921,0.5002,4.32,34.7475,1.1753,51.7747,-56.7386,-54.2786,15.2287,10.1811,10.1811,64.9545,95.8765,64.9545,95.8765,414.044,1138.9852,236.4657,753.6531,273789911.7
000007.SZ,2019/1/2,7.99,5.593,2019/1/29,2.9746,2.9721,1.4379,115.88,780.2854667,0.2663,-462.2583,69.374,-67.9362,49.6443,-891.5615,-11140.5538,-12.8685,7.0624,7.0624,82.3465,3.1742,82.3465,3.1742,-438.396,-1524.1632,-9567.3552,-7938.5298,9239141.41
000007.SZ,2018/9/28,7.83,5.481,2019/1/29,2.9746,2.9721,1.4379,115.88,780.2854667,0.2663,-462.2583,69.374,-67.9362,49.6443,-891.5615,-11140.5538,-12.8685,7.0624,7.0624,82.3465,3.1742,82.3465,3.1742,-438.396,-1524.1632,-9567.3552,-7938.5298,9239141.41
000007.SZ,2016/12/7,17.0815,11.95705,2018/9/21,3.3391,3.3367,3.3349,85.6132,1115.5598,0.1931,-26.9802,70.7013,-2.2637,10.2518,-117.5572,-129.4951,-3.9192,-5.2802,-5.2802,-19.9874,-15.604,-19.9874,-15.604,125.05,157.9401,122.2912,171.4685,42443842.1
