ts_code,start_date,release_date,pledge_price,forcast_close_line,is_reach_close_line,close_date
000002.SZ,2018-12-25,2019-08-26,22.4751,15.732569999999999,False,
000002.SZ,2018-12-18,2019-07-22,24.3593,17.05151,False,
000002.SZ,2019-06-11,,26.7721,18.74047,False,
000002.SZ,2018-09-26,2019-06-05,22.9654,16.075779999999998,False,
000002.SZ,2018-09-28,2019-06-05,23.0231,16.11617,False,
000002.SZ,2019-01-22,,24.2535,16.977449999999997,False,
000002.SZ,2019-01-18,,24.0228,16.81596,False,
000002.SZ,2017-03-09,2019-01-17,18.2068,12.74476,False,
000002.SZ,2017-10-24,2019-01-17,23.8775,16.71425,False,
000002.SZ,2017-12-01,2019-01-17,28.2164,19.751479999999997,True,2018-08-03
000002.SZ,2017-03-21,2019-01-14,18.6273,13.03911,False,
000002.SZ,2019-01-15,,23.3787,16.36509,False,
000002.SZ,2017-03-29,2019-01-10,18.7884,13.151879999999998,False,
000002.SZ,2019-01-11,,24.041999999999998,16.829399999999996,False,
000002.SZ,2017-03-09,,18.2068,12.74476,False,
000002.SZ,2019-01-09,,24.1382,16.89674,False,
000002.SZ,2017-03-09,2019-01-08,18.2068,12.74476,False,
000002.SZ,2018-01-30,2018-12-24,33.5544,23.48808,True,2018-05-30
000002.SZ,2018-12-25,,22.4751,15.732569999999999,False,
000002.SZ,2017-12-22,2018-12-17,27.355999999999998,19.149199999999997,False,
000002.SZ,2018-12-18,,24.3593,17.05151,False,
000002.SZ,2018-12-14,,25.2917,17.704189999999997,False,
000002.SZ,2017-12-01,2018-11-30,28.2164,19.751479999999997,True,2018-08-03
000002.SZ,2017-12-01,,28.2164,19.751479999999997,True,2018-08-03
000002.SZ,2017-12-01,2018-11-28,28.2164,19.751479999999997,True,2018-08-03
000002.SZ,2018-11-23,,23.7248,16.607359999999996,False,
000002.SZ,2017-12-01,2018-11-20,28.2164,19.751479999999997,True,2018-08-03
000002.SZ,2017-10-13,2018-10-15,24.8027,17.36189,False,
000002.SZ,2018-10-16,,20.0527,14.03689,False,
000002.SZ,2017-03-09,2018-10-15,18.2068,12.74476,False,
000002.SZ,2018-09-28,,23.0231,16.11617,False,
000002.SZ,2018-09-26,,22.9654,16.075779999999998,False,
000002.SZ,2017-10-24,2018-09-13,23.8775,16.71425,False,
000002.SZ,2017-10-24,,23.8775,16.71425,False,
000002.SZ,2018-03-27,,28.4107,19.887489999999996,True,2018-08-02
000002.SZ,2017-06-06,2018-03-22,18.6363,13.045409999999999,False,
000002.SZ,2018-03-16,,30.0666,21.04662,True,2018-07-18
000002.SZ,2017-04-21,2018-03-13,18.3858,12.870059999999999,False,
000002.SZ,2018-03-07,,30.3442,21.24094,True,2018-07-02
000002.SZ,2017-04-28,2018-03-02,17.1153,11.98071,False,
000002.SZ,2018-02-09,,27.9388,19.55716,True,2018-08-03
000002.SZ,2018-01-30,,33.5544,23.48808,True,2018-05-30
000002.SZ,2018-01-10,2018-01-26,32.842,22.989399999999996,False,
000002.SZ,2017-10-13,2018-01-05,24.8027,17.36189,False,
000002.SZ,2017-10-13,,24.8027,17.36189,False,
000002.SZ,2017-12-22,,27.355999999999998,19.149199999999997,False,
000002.SZ,2016-07-12,2017-12-20,15.0794,10.555579999999999,False,
000002.SZ,2017-03-16,2017-06-19,18.9047,13.233289999999998,False,
000002.SZ,2017-03-29,,18.7884,13.151879999999998,False,
000002.SZ,2017-03-21,,18.6273,13.03911,False,
000004.SZ,2018-05-16,2018-12-01,21.22,14.853999999999997,False,
000004.SZ,2018-05-16,,21.22,14.853999999999997,False,
000004.SZ,2018-12-20,,16.3,11.41,False,
000004.SZ,2017-12-18,2018-05-11,22.51,15.757,False,
000004.SZ,2017-12-18,,22.51,15.757,True,2018-09-17
000004.SZ,2016-12-28,2017-01-26,44.18,30.926,False,
000005.SZ,2019-01-10,,2.84,1.9879999999999998,False,
000005.SZ,2017-09-15,,5.18,3.6259999999999994,True,2018-04-16
000005.SZ,2017-02-21,,6.58,4.606,True,2017-11-03
000007.SZ,2019-01-02,,7.99,5.593,True,2019-01-29
000007.SZ,2018-09-28,2018-12-07,7.83,5.481,False,
000007.SZ,2018-09-28,,7.83,5.481,True,2019-01-29
000007.SZ,2016-12-07,,17.0815,11.957049999999999,True,2018-09-21
000008.SZ,2019-03-14,2019-04-11,4.3686,3.0580199999999995,False,
000008.SZ,2017-03-20,,8.332,5.8324,True,2018-05-02
000008.SZ,2018-10-16,,3.4610000000000003,2.4227,False,
000008.SZ,2018-04-16,,5.9344,4.1540799999999996,True,2018-08-08
000008.SZ,2019-03-20,,4.5482,3.1837399999999993,False,
000008.SZ,2018-08-08,,3.9996,2.7997199999999998,False,
000008.SZ,2019-03-14,,4.3686,3.0580199999999995,False,
000008.SZ,2018-03-08,2018-11-14,7.3563,5.14941,True,2018-06-05
000008.SZ,2018-08-10,2018-11-14,3.8799,2.7159299999999997,False,
000008.SZ,2018-06-05,2018-11-08,4.947,3.4629,False,
000008.SZ,2017-11-16,2018-11-08,8.788,6.1516,True,2018-04-16
000008.SZ,2018-08-10,2018-11-08,3.8799,2.7159299999999997,False,
000008.SZ,2018-08-10,,3.8799,2.7159299999999997,False,
000008.SZ,2017-05-25,2018-07-24,6.8135,4.76945,False,
000008.SZ,2017-06-12,2018-06-11,7.138999999999999,4.997299999999999,True,2018-06-05
000008.SZ,2018-06-05,,4.947,3.4629,True,2019-08-13
000008.SZ,2016-11-21,2018-05-17,9.8406,6.88842,True,2017-05-24
000008.SZ,2017-06-12,2018-05-17,7.138999999999999,4.997299999999999,False,
000008.SZ,2018-03-08,,7.3563,5.14941,True,2018-06-05
000008.SZ,2018-01-10,,8.2351,5.764569999999999,True,2018-05-02
000008.SZ,2017-11-16,,8.788,6.1516,True,2018-04-16
000008.SZ,2017-09-25,,8.6992,6.089439999999999,True,2018-04-16
000008.SZ,2017-09-19,,8.7584,6.130879999999999,True,2018-04-16
000008.SZ,2016-01-11,2017-07-07,9.3673,6.55711,False,
000008.SZ,2017-06-12,,7.138999999999999,4.997299999999999,True,2018-06-05
000008.SZ,2016-04-19,2016-11-29,10.5209,7.364629999999999,False,
000008.SZ,2016-07-14,2016-11-29,10.5012,7.35084,False,
000008.SZ,2016-04-19,2016-11-30,10.5209,7.364629999999999,False,
000008.SZ,2016-09-21,2016-11-28,8.9236,6.24652,False,
000008.SZ,2016-02-19,2016-11-29,8.401,5.880699999999999,False,
000008.SZ,2016-03-09,2016-11-28,7.9868,5.5907599999999995,False,
000008.SZ,2016-03-23,2016-11-25,9.7814,6.846979999999999,False,
000008.SZ,2016-03-04,2016-11-23,7.6417,5.34919,False,
000008.SZ,2016-03-04,,7.6417,5.34919,True,2018-06-05
000008.SZ,2016-09-06,2016-11-10,9.1208,6.384559999999999,False,
000008.SZ,2016-01-28,,7.691,5.383699999999999,True,2018-06-05
000009.SZ,2019-02-28,2019-06-18,4.2809,2.9966299999999997,False,
000009.SZ,2019-02-28,,4.2809,2.9966299999999997,False,
000009.SZ,2019-05-06,,4.8212,3.37484,False,
000009.SZ,2018-08-02,2019-01-18,3.8653,2.70571,False,
000009.SZ,2017-07-28,2019-01-18,6.9388,4.8571599999999995,True,2018-02-06
000009.SZ,2019-01-10,,3.6658,2.56606,False,
000009.SZ,2018-06-21,2019-01-10,3.8915,2.72405,False,
000009.SZ,2018-06-15,2019-01-03,4.4296,3.1007199999999995,True,2018-10-16
000009.SZ,2018-06-21,2019-01-03,3.8915,2.72405,False,
000009.SZ,2018-06-21,,3.8915,2.72405,False,
000009.SZ,2019-01-03,,3.5162,2.46134,False,
000009.SZ,2018-06-28,2018-11-12,3.9411,2.7587699999999997,False,
000009.SZ,2018-09-11,2018-11-12,3.7157,2.60099,False,
000009.SZ,2017-12-14,2018-11-12,6.0028,4.20196,True,2018-06-19
000009.SZ,2018-09-11,,3.7157,2.60099,False,
000009.SZ,2018-08-02,,3.8653,2.70571,False,
000009.SZ,2017-07-04,2018-07-10,6.6084,4.6258799999999995,True,2018-02-06
000009.SZ,2018-06-28,,3.9411,2.7587699999999997,False,
000009.SZ,2017-10-19,2018-06-25,6.8308,4.78156,True,2018-02-06
000009.SZ,2017-11-15,2018-06-25,6.3588,4.45116,True,2018-02-06
000009.SZ,2018-01-18,2018-06-25,5.5722,3.9005399999999995,True,2018-06-21
000009.SZ,2017-11-23,2018-06-25,6.1849,4.3294299999999994,True,2018-06-19
000009.SZ,2017-07-18,2018-06-20,6.2284,4.3598799999999995,True,2018-06-19
000009.SZ,2018-06-15,,4.4296,3.1007199999999995,True,2018-10-16
000009.SZ,2017-05-03,2018-05-14,7.0214,4.91498,True,2018-02-01
000009.SZ,2018-01-18,,5.5722,3.9005399999999995,True,2018-06-21
000009.SZ,2017-12-14,,6.0028,4.20196,True,2018-06-19
000009.SZ,2017-05-15,2017-12-12,6.3441,4.440869999999999,False,
000009.SZ,2017-01-04,2017-12-12,8.6157,6.03099,True,2017-05-23
000009.SZ,2017-11-23,,6.1849,4.3294299999999994,True,2018-06-19
000009.SZ,2016-11-10,2017-11-14,8.4092,5.8864399999999995,False,
000009.SZ,2017-04-17,2017-11-14,7.6492,5.35444,False,
000009.SZ,2017-11-15,,6.3588,4.45116,True,2018-02-06
000009.SZ,2017-05-15,2017-11-14,6.3441,4.440869999999999,False,
000009.SZ,2017-10-19,,6.8308,4.78156,True,2018-02-06
000009.SZ,2016-10-28,2017-08-15,8.624,6.0368,True,2017-05-23
000009.SZ,2017-07-28,,6.9388,4.8571599999999995,True,2018-02-06
000009.SZ,2016-10-28,2017-07-24,8.624,6.0368,True,2017-05-23
000009.SZ,2016-07-13,2017-07-18,8.6066,6.02462,True,2017-05-23
000009.SZ,2017-07-18,,6.2284,4.3598799999999995,True,2018-06-19
000009.SZ,2017-05-15,2017-07-18,6.3441,4.440869999999999,False,
000009.SZ,2017-07-04,,6.6084,4.6258799999999995,True,2018-02-06
000009.SZ,2016-05-10,2017-05-15,7.4797,5.23579,False,
000009.SZ,2017-05-03,,7.0214,4.91498,True,2018-02-01
000009.SZ,2016-01-12,2017-01-19,7.6807,5.3764899999999995,False,
000009.SZ,2016-07-20,2017-01-19,8.704,6.0928,False,
000009.SZ,2016-08-03,2016-10-28,8.2936,5.80552,False,
000009.SZ,2016-01-28,2016-07-13,6.5783,4.60481,False,
000009.SZ,2016-01-28,2016-05-10,6.5783,4.60481,False,
000009.SZ,2016-01-28,2016-04-26,6.5783,4.60481,False,
000012.SZ,2018-11-29,,3.7674,2.63718,False,
000012.SZ,2016-07-12,2018-07-12,7.5463,5.28241,True,2018-05-30
000012.SZ,2016-07-12,,7.5463,5.28241,True,2018-05-30
000014.SZ,2017-11-14,2018-01-04,15.7313,11.011909999999999,True,2017-12-20
000014.SZ,2017-11-14,,15.7313,11.011909999999999,True,2017-12-20
000014.SZ,2017-11-14,2017-12-18,15.7313,11.011909999999999,False,
000014.SZ,2017-11-14,2017-12-14,15.7313,11.011909999999999,False,
000018.SZ,2018-06-22,,3.9297,2.75079,True,2018-08-31
000018.SZ,2018-06-29,,3.12,2.1839999999999997,True,2018-10-12
000018.SZ,2018-02-01,,5.1046,3.5732199999999996,True,2018-06-27
000018.SZ,2017-12-25,,5.9636,4.174519999999999,True,2018-06-22
000018.SZ,2017-10-18,,7.7408,5.418559999999999,True,2018-02-01
000018.SZ,2017-05-12,,7.4929,5.24503,True,2018-02-01
000018.SZ,2016-01-22,2017-03-02,9.8414,6.88898,False,
000018.SZ,2017-03-09,,9.6281,6.739669999999999,True,2017-12-12
000018.SZ,2016-11-17,,10.206,7.144199999999999,True,2017-05-24
000018.SZ,2016-10-13,,9.824,6.876799999999999,True,2017-11-17
000018.SZ,2016-08-01,,10.1472,7.103039999999999,True,2017-07-17
000023.SZ,2019-03-04,,16.3002,11.41014,False,
000023.SZ,2017-11-09,2018-01-04,23.218000000000004,16.2526,False,
000023.SZ,2017-11-17,2017-12-20,22.3654,15.65578,False,
000023.SZ,2017-10-13,2017-11-06,24.2094,16.946579999999997,False,
000023.SZ,2017-01-17,2017-10-13,25.7467,18.02269,False,
000023.SZ,2016-10-18,2017-10-13,29.5775,20.70425,True,2017-06-01
000023.SZ,2016-10-18,2017-01-13,29.5775,20.70425,False,
000030.SZ,2017-07-12,2019-02-27,5.7486,4.024019999999999,True,2018-09-10
000030.SZ,2016-08-24,2018-02-12,5.0877,3.56139,False,
000034.SZ,2016-11-25,,27.5764,19.303479999999997,True,2017-07-20
000034.SZ,2017-07-25,,17.4673,12.22711,True,2018-08-20
000034.SZ,2017-07-28,,16.426,11.498199999999999,True,2019-01-23
000034.SZ,2016-06-22,,17.7621,12.43347,True,2018-08-20
000034.SZ,2016-08-04,2019-08-02,27.0164,18.91148,True,2017-07-20
000034.SZ,2016-06-22,2018-12-10,17.7621,12.43347,True,2018-08-20
000034.SZ,2018-12-07,,14.6725,10.27075,False,
000034.SZ,2018-12-10,,14.2199,9.95393,False,
000034.SZ,2016-06-22,2018-09-14,17.7621,12.43347,True,2018-08-20
000034.SZ,2016-06-22,2017-07-28,17.7621,12.43347,False,
000034.SZ,2016-06-22,2016-11-28,17.7621,12.43347,False,
000034.SZ,2016-06-22,2016-09-28,17.7621,12.43347,False,
000034.SZ,2016-08-04,,27.0164,18.91148,True,2017-07-20
000035.SZ,2019-07-05,,6.17,4.319,False,
000035.SZ,2018-08-14,,4.05,2.8349999999999995,False,
000035.SZ,2018-08-06,,3.96,2.772,False,
000035.SZ,2018-07-31,,4.52,3.1639999999999997,False,
000035.SZ,2018-07-24,,4.56,3.1919999999999997,False,
000035.SZ,2016-08-08,2018-07-23,6.43,4.5009999999999994,True,2018-07-16
000035.SZ,2016-08-11,2018-07-20,6.61,4.627,True,2018-07-16
000035.SZ,2016-08-11,2018-07-23,6.61,4.627,True,2018-07-16
000035.SZ,2016-08-08,2018-07-20,6.43,4.5009999999999994,True,2018-07-16
000035.SZ,2018-07-13,,4.62,3.234,False,
000035.SZ,2017-06-15,2018-07-10,6.87,4.809,False,
000035.SZ,2017-03-06,2018-03-06,7.52,5.263999999999999,False,
000035.SZ,2016-08-11,,6.61,4.627,True,2018-07-16
000035.SZ,2016-08-08,,6.43,4.5009999999999994,True,2018-07-16
