,ts_code,start_date,is_release,release_date
0,000002.SZ,2018-12-25,1.0,20190826
2,000002.SZ,2018-12-18,1.0,20190722
3,000002.SZ,2019-06-11,0.0,
4,000002.SZ,2018-09-26,1.0,20190605
5,000002.SZ,2018-09-28,1.0,20190605
6,000002.SZ,2019-01-22,0.0,
8,000002.SZ,2019-01-18,0.0,
11,000002.SZ,2017-03-09,1.0,20190117
12,000002.SZ,2017-10-24,1.0,20190117
13,000002.SZ,2017-12-01,1.0,20190117
14,000002.SZ,2017-03-21,1.0,20190114
16,000002.SZ,2019-01-15,0.0,
17,000002.SZ,2017-03-29,1.0,20190110
18,000002.SZ,2019-01-11,0.0,
19,000002.SZ,2017-03-09,0.0,
20,000002.SZ,2019-01-09,0.0,
21,000002.SZ,2017-03-09,1.0,20190108
22,000002.SZ,2018-01-30,1.0,20181224
23,000002.SZ,2018-12-25,0.0,
24,000002.SZ,2017-12-22,1.0,20181217
25,000002.SZ,2018-12-18,0.0,
26,000002.SZ,2018-12-14,0.0,
27,000002.SZ,2017-12-01,1.0,20181130
28,000002.SZ,2017-12-01,0.0,
30,000002.SZ,2017-12-01,1.0,20181128
32,000002.SZ,2018-11-23,0.0,
34,000002.SZ,2017-12-01,1.0,20181120
36,000002.SZ,2017-10-13,1.0,20181015
37,000002.SZ,2018-10-16,0.0,
39,000002.SZ,2017-03-09,1.0,20181015
40,000002.SZ,2018-09-28,0.0,
42,000002.SZ,2018-09-26,0.0,
43,000002.SZ,2017-10-24,1.0,20180913
44,000002.SZ,2017-10-24,0.0,
45,000002.SZ,2018-03-27,0.0,
47,000002.SZ,2017-06-06,1.0,20180322
48,000002.SZ,2018-03-16,0.0,
49,000002.SZ,2017-04-21,1.0,20180313
50,000002.SZ,2018-03-07,0.0,
51,000002.SZ,2017-04-28,1.0,20180302
52,000002.SZ,2018-02-09,0.0,
53,000002.SZ,2018-01-30,0.0,
54,000002.SZ,2018-01-10,1.0,20180126
55,000002.SZ,2017-10-13,1.0,20180105
56,000002.SZ,2017-10-13,0.0,
57,000002.SZ,2017-12-22,0.0,
58,000002.SZ,2016-07-12,1.0,20171220
65,000002.SZ,2017-03-16,1.0,20170619
79,000002.SZ,2017-03-29,0.0,
82,000002.SZ,2017-03-21,0.0,
88,000004.SZ,2018-05-16,1.0,20181201
89,000004.SZ,2018-05-16,0.0,
90,000004.SZ,2018-12-20,0.0,
92,000004.SZ,2017-12-18,1.0,20180511
93,000004.SZ,2017-12-18,0.0,
95,000004.SZ,2016-12-28,1.0,20170126
101,000005.SZ,2019-01-10,0.0,
104,000005.SZ,2017-09-15,0.0,
107,000005.SZ,2017-02-21,0.0,
173,000007.SZ,2019-01-02,0.0,
174,000007.SZ,2018-09-28,1.0,20181207
175,000007.SZ,2018-09-28,0.0,
177,000007.SZ,2018-03-05,1.0,20180608
178,000007.SZ,2018-02-12,1.0,20180522
179,000007.SZ,2018-03-05,0.0,
180,000007.SZ,2017-03-07,1.0,20180302
181,000007.SZ,2017-03-22,1.0,20180302
182,000007.SZ,2018-02-12,0.0,
183,000007.SZ,2017-12-07,1.0,20180212
184,000007.SZ,2016-12-07,0.0,
201,000008.SZ,2019-03-14,1.0,20190411
202,000008.SZ,2017-03-20,0.0,
203,000008.SZ,2018-10-16,0.0,
204,000008.SZ,2018-04-16,0.0,
205,000008.SZ,2019-03-20,0.0,
206,000008.SZ,2018-06-06,0.0,
207,000008.SZ,2018-08-08,0.0,
208,000008.SZ,2019-03-14,0.0,
209,000008.SZ,2018-03-08,1.0,20181114
210,000008.SZ,2018-06-20,1.0,20181114
211,000008.SZ,2018-08-10,1.0,20181114
212,000008.SZ,2018-06-05,1.0,20181108
213,000008.SZ,2017-11-16,1.0,20181108
214,000008.SZ,2018-06-20,1.0,20181108
215,000008.SZ,2018-08-10,1.0,20181108
217,000008.SZ,2018-08-10,0.0,
220,000008.SZ,2017-05-25,1.0,20180724
221,000008.SZ,2018-06-20,0.0,
224,000008.SZ,2017-06-12,1.0,20180611
226,000008.SZ,2018-06-05,0.0,
227,000008.SZ,2016-11-21,1.0,20180517
228,000008.SZ,2017-06-12,1.0,20180517
