,code,pledge_date,alarm_line,close_position_line,price_on_pledge,total_pledge_nb,total_share_ratio,total_stock_ratio,close_position_date,is_st
0,000034.SZ,2016-11-25,17.8048,15.5792,27.82,11223.0,72.5104,17.16,2018-06-19,0
1,000046.SZ,2016-02-02,5.91,5.17,9.23,277068.83,80.08,53.32,2018-07-04,0
2,000046.SZ,2016-02-02,5.91,5.17,9.23,339517.71,97.57,65.34,2018-07-04,0
3,000056.SZ,2018-06-12,6.36,5.57,9.94,24216.59,98.17,20.6,2018-12-14,0
4,000056.SZ,2018-05-09,6.39,5.59,9.99,24117.47,97.77,20.52,2018-12-06,0
5,000056.SZ,2018-04-25,6.66,5.83,10.41,22917.97,92.91,19.5,2018-10-29,0
6,000056.SZ,2018-04-25,6.66,5.83,10.41,22917.97,92.91,19.5,2018-10-29,0
7,000056.SZ,2017-11-02,8.44,7.39,13.19,23736.47,96.23,20.2,2018-10-19,0
8,000056.SZ,2017-06-16,7.49,6.56,11.71,21310.7,89.06,18.57,2018-10-23,0
9,000056.SZ,2016-07-21,8.09,7.08,12.64,21850.0,88.58,18.59,2018-10-19,0
10,000068.SZ,2017-01-06,5.48,4.79,8.56,26610.3,100.0,26.43,2018-02-02,0
11,000078.SZ,2017-06-14,3.88,3.39,6.06,105431.89,86.67,39.81,2018-10-18,0
12,000078.SZ,2017-06-14,3.88,3.39,6.06,105431.89,86.67,39.81,2018-10-18,0
13,000078.SZ,2016-12-28,3.98,3.48,6.22,113760.46,93.52,42.96,2018-10-18,0
14,000078.SZ,2016-09-30,4.32,3.78,6.76,121260.46,99.68,44.77,2018-09-03,0
15,000150.SZ,2018-10-22,5.81,5.09,9.08,9328.0,97.53,14.88,2019-07-10,0
16,000150.SZ,2018-10-19,6.12,5.35,9.56,9328.0,97.53,14.88,2019-07-08,0
17,000150.SZ,2018-10-19,6.12,5.35,9.56,9328.0,97.53,14.88,2019-07-08,0
18,000150.SZ,2018-10-19,6.12,5.35,9.56,9328.0,97.53,14.88,2019-07-08,0
19,000150.SZ,2018-10-19,6.12,5.35,9.56,9328.0,97.53,14.88,2019-07-08,0
20,000150.SZ,2018-10-11,7.32,6.41,11.44,7898.0,82.58,12.6,2019-05-28,0
21,000150.SZ,2017-11-28,9.12,7.98,14.25,6271.0,91.79,14.0,2019-05-28,0
22,000150.SZ,2017-07-05,8.12,7.1,12.68,3658.0,99.99,8.17,2019-05-28,0
23,000150.SZ,2017-07-05,8.12,7.1,12.68,11010.0,66.31,24.59,2019-05-28,0
24,000150.SZ,2017-06-14,8.21,7.18,12.82,11206.93,67.5,25.03,2019-05-28,0
