,股票代码,质押日期,股东名称,质押方,质押股数(万股),占所持股比例(%),占总股本比例(%),冻结事由,冻结期限,状态,预警线(估算),平仓线(估算),质押日收盘价(前复权)(元),最新收盘价(元),质押股数(万股).1,占所持股比例(%).1,占总股本比例(%).1,解除日期,公告日期,平仓日
0,000034.SZ,2016/11/25,郭为,华福证券有限责任公司,"3,556.00",22.98,5.4367,"郭为将35,560,000股质押给华福证券有限责任公司","质押初始交易日是2016年11月25日,购回交易日是2019年6月14日,现在延期至2020年9月30日",已到平仓线,17.8048,15.5792,27.82,14.15,"11,223.00",72.5104,17.16,2020/9/30,2019/8/13,20180619
1,000046.SZ,2016/2/2,中国泛海控股集团有限公司,兴业银行股份有限公司上海分行,"9,583.33",2.77,1.84,质押给兴业银行股份有限公司上海分行,--,已到平仓线,5.91,5.17,9.23,4.61,"277,068.83",80.08,53.32,2020/2/2,2016/2/5,20180704
2,000046.SZ,2016/2/2,中国泛海控股集团有限公司,兴业银行股份有限公司上海分行,"9,583.33",2.75,1.84,"中国泛海控股集团有限公司质押给兴业银行股份有限公司上海分行95,833,333股",起始日期2012年2月2日,已到平仓线,5.91,5.17,9.23,4.61,"339,517.71",97.57,65.34,--,2017/12/2,20180704
3,000056.SZ,2018/6/12,深圳市皇庭投资管理有限公司,安信证券股份有限公司,372.12,1.52,0.32,"深圳市皇庭投资管理有限公司质押3,721,209股给安信证券股份有限公司用于补充质押。","质押开始日期2018年6月12日,质押到期日2019年11月2日",已到平仓线,6.36,5.57,9.94,3.8,"24,216.59",98.17,20.6,2019/11/2,2018/6/14,20181214
4,000056.SZ,2018/5/9,深圳市皇庭投资管理有限公司,安信证券股份有限公司,325,1.32,0.28,"深圳市皇庭投资管理有限公司质押3,250,000股给安信证券股份有限公司",质押期限从2018年5月9日至2019年11月2日,已到平仓线,6.39,5.59,9.99,3.8,"24,117.47",97.77,20.52,2019/11/2,2018/5/12,20181206
5,000056.SZ,2018/4/25,深圳市皇庭投资管理有限公司,安信证券股份有限公司,568.16,2.3,0.48,"深圳市皇庭投资管理有限公司补充质押给安信证券股份有限公司5,681,556股",质押期限自2018年4月25日至2019年11月2日,已到平仓线,6.66,5.83,10.41,3.8,"22,917.97",92.91,19.5,2019/11/2,2018/4/28,20181029
6,000056.SZ,2018/4/25,深圳市皇庭投资管理有限公司,安信证券股份有限公司,371.84,1.51,0.32,"深圳市皇庭投资管理有限公司补充质押给安信证券股份有限公司3,718,444股",质押期限自2018年4月25日至2019年11月2日,已到平仓线,6.66,5.83,10.41,3.8,"22,917.97",92.91,19.5,2019/11/2,2018/4/28,20181029
7,000056.SZ,2017/11/2,深圳市皇庭投资管理有限公司,安信证券股份有限公司,"7,061.47",28.63,6.01,"质押给安信证券股份有限公司,用于融资","质押起始日2017年11月2日,质押到期日2019年11月2日",已到平仓线,8.44,7.39,13.19,3.8,"23,736.47",96.23,20.2,2019/11/2,2017/11/4,20181019
8,000056.SZ,2017/6/16,深圳市皇庭产业控股有限公司,上海浦东发展银行股份有限公司深圳分行,"1,000.00",4.18,0.87,"深圳市皇庭金融控股有限公司质押10,000,000股给上海浦东发展银行股份有限公司深圳分行用于融资","质押开始日期2017年6月16日
质押到期日2020年6月15日",已到平仓线,7.49,6.56,11.71,3.8,"21,310.70",89.06,18.57,2020/6/15,2017/6/21,20181023
9,000056.SZ,2016/7/21,深圳市皇庭投资管理有限公司,渤海国际信托股份有限公司,"5,600.00",22.7,4.77,质押给渤海国际信托股份有限公司,质押自2016-07-21到2022-07-20,已到平仓线,8.09,7.08,12.64,3.8,"21,850.00",88.58,18.59,2022/7/20,2017/8/15,20181019
10,000068.SZ,2017/1/6,深圳市华融泰资产管理有限公司,重庆国际信托有限公司,"26,610.30",100.0,26.43,质押给重庆国际信托有限公司,至办理解除质押登记手续为止,已到平仓线,5.48,4.79,8.56,3.58,"26,610.30",100,26.43,,2017/1/10,20180202
11,000078.SZ,2017/6/14,深圳海王集团股份有限公司,五矿国际信托有限公司,"18,750.00",15.41,7.08,"深圳海王集团股份有限公司质押187,500,000股给五矿国际信托有限公司用于融资需求","质押起始日为2017年6月14日
解除质押日为办理完解除质押登记之日",已到平仓线,3.88,3.39,6.06,3.36,"105,431.89",86.67,39.81,--,2017/6/16,20181018
12,000078.SZ,2017/6/14,深圳海王集团股份有限公司,五矿国际信托有限公司,"6,950.00",5.71,2.62,"深圳海王集团股份有限公司质押69,500,000股给五矿国际信托有限公司用于融资需求","质押起始日为2017年6月14日
解除质押日为办理完解除质押登记之日",已到平仓线,3.88,3.39,6.06,3.36,"105,431.89",86.67,39.81,--,2017/6/16,20181018
13,000078.SZ,2016/12/28,深圳海王集团股份有限公司,浙商银行股份有限公司深圳分行,"33,163.27",27.26,12.52,"海王集团将其所持有的本公司331,632,654股法人股(约占公司总股本的12.52%)质押予浙商银行股份有限公司深圳分行",股份质押期限自2016年12月28日起至向中国证券登记结算有限责任公司办理解除质押登记止,已到平仓线,3.98,3.48,6.22,3.36,"113,760.46",93.52,42.96,--,2016/12/29,20181018
14,000078.SZ,2016/9/30,深圳海王集团股份有限公司,交通银行股份有限公司深圳分行,"15,306.12",12.58,5.78,"因融资需要海王集团将其所持有的本公司153,061,224股法人股(约占公司总股本的5.78%)质押予交通银行股份有限公司深圳分行",质押期限自2016年9月30日起至向中国证券登记结算有限责任公司办理解除质押登记止。,已到平仓线,4.32,3.78,6.76,3.36,"121,260.46",99.68,44.77,--,2016/10/10,20180903
15,000150.SZ,2018/10/22,林正刚,中泰证券股份有限公司,60,0.63,0.1,"林正刚质押600,000股给中泰证券股份有限公司用于补充质押",质押期限从2018年10月22日至申请解除质押登记为止,已到平仓线,5.81,5.09,9.08,4.87,"9,328.00",97.53,14.88,--,2018/10/25,20190710
16,000150.SZ,2018/10/19,林正刚,中泰证券(上海)资产管理有限公司,20,0.21,0.03,"林正刚质押200,000股给中泰证券(上海)资产管理有限公司用于补充质押",质押期限从2018年10月19日至申请解除质押登记为止,已到平仓线,6.12,5.35,9.56,4.87,"9,328.00",97.53,14.88,--,2018/10/25,20190708
17,000150.SZ,2018/10/19,林正刚,中泰证券股份有限公司,200,2.09,0.32,"林正刚质押2,000,000股给中泰证券股份有限公司用于补充质押",质押期限从2018年10月19日至申请解除质押登记为止,已到平仓线,6.12,5.35,9.56,4.87,"9,328.00",97.53,14.88,--,2018/10/25,20190708
18,000150.SZ,2018/10/19,林正刚,中泰证券(上海)资产管理有限公司,50,0.52,0.08,"林正刚质押500,000股给中泰证券(上海)资产管理有限公司用于补充质押",质押期限从2018年10月19日至申请解除质押登记为止,已到平仓线,6.12,5.35,9.56,4.87,"9,328.00",97.53,14.88,--,2018/10/25,20190708
19,000150.SZ,2018/10/19,林正刚,中泰证券股份有限公司,50,0.52,0.08,"林正刚质押500,000股给中泰证券股份有限公司用于补充质押",质押期限从2018年10月19日至申请解除质押登记为止,已到平仓线,6.12,5.35,9.56,4.87,"9,328.00",97.53,14.88,--,2018/10/25,20190708
20,000150.SZ,2018/10/11,林正刚,中泰证券股份有限公司,100,1.05,0.16,"林正刚质押1,000,000股给中泰证券股份有限公司",质押期限从2018年10月11日至质权人申请解除质押登记为止,已到平仓线,7.32,6.41,11.44,4.87,"7,898.00",82.58,12.6,--,2018/10/19,20190528
21,000150.SZ,2017/11/28,林正刚,中泰证券股份有限公司,"1,300.00",19.03,2.9,林正刚质押13000000股给中泰证券股份有限公司,质押期限从2017年11月28日至质权人申请解除质押登记为止,已到平仓线,9.12,7.98,14.25,4.87,"6,271.00",91.79,14,--,2017/12/1,20190528
22,000150.SZ,2017/7/5,深圳市前海新富阳实业有限公司,五矿国际信托有限公司,"3,658.00",99.99,8.17,"深圳市前海新富阳实业有限公司将36,580,000.股质押给五矿国际信托有限公司",质押开始日期2017年7月5日质押到期日质权人申请解除质押登记为止,已到平仓线,8.12,7.1,12.68,4.87,"3,658.00",99.99,8.17,--,2017/7/8,20190528
23,000150.SZ,2017/7/5,宜华企业(集团)有限公司,五矿国际信托有限公司,"1,460.00",8.79,3.26,"质押给五矿国际信托有限公司14,600,000股","质押开始日期2017年7月5日,质押解除日期质权人申请解除质押登记为止",已到平仓线,8.12,7.1,12.68,4.87,"11,010.00",66.31,24.59,--,2017/7/7,20190528
24,000150.SZ,2017/6/14,宜华企业(集团)有限公司,五矿国际信托有限公司,"3,130.00",18.85,6.99,"宜华集团将31,300,000股质押给五矿国际信托有限公司",质押开始日期2017年6月14日质押到期日质权人申请解除质押登记为止,已到平仓线,8.21,7.18,12.82,4.87,"11,206.93",67.5,25.03,--,2017/6/16,20190528
25,000150.SZ,2016/12/1,林正刚,齐鲁证券(上海)资产管理有限公司,"1,000.00",14.64,2.23,质押给齐鲁证券(上海)资产管理有限公司,"近日,林正刚先生将持有公司股份10,000,000股质押给齐鲁证券(上海)资产管理有限公司,办理股票质押式回购交易业务。",已到平仓线,11.27,9.86,17.61,4.87,"5,587.00",81.78,12.48,--,2016/12/2,20190507
26,000150.SZ,2016/11/23,宜华企业(集团)有限公司,海通证券股份有限公司,"5,460.00",32.88,12.19,"宜华企业(集团)有限公司将3,280,000股质押给国金证券股份有限公司",质押起始日2016年11月23日,已到平仓线,10.74,9.4,16.79,4.87,"11,194.00",67.42,25,--,2016/11/24,20190517
27,000150.SZ,2016/11/8,林正刚,中泰证券(上海)资产管理有限公司,"3,752.31",46.01,5.99,"近日,林正刚先生将持有公司股份质押给中泰证券(上海)资产管理有限公司",--,已到平仓线,10.08,8.82,15.75,4.87,--,--,--,--,2019/3/23,20190517
28,000150.SZ,2016/9/5,林正刚,中泰证券股份有限公司,500,7.32,1.12,"将持有公司5,000,000股股份质押给财通证券股份有限公司,办理股票质押式回购交易业务",质押起始日2016-09-05,已到平仓线,10.31,9.02,16.11,4.87,"5,965.39",87.32,13.32,--,2016/9/6,20190517
29,000407.SZ,2017/9/5,广州润铠胜投资有限责任公司,民生证券股份有限公司河南分公司,"3,763.00",45.85,4.28,"广州润铠胜投资有限责任公司质押3,763万股给民生证券股份有限公司河南分公司用于补充流动资金","质押开始日期2017年9月5日
质押到期日至办理解除质押登记手续之日",已到平仓线,5.29,4.63,8.27,3.46,"7,597.10",92.56,8.63,--,2017/9/9,20180619
30,000407.SZ,2017/7/10,广州润铠胜投资有限责任公司,民生证券股份有限公司河南分公司,364,4.43,0.41,"广州润铠胜投资有限责任公司质押3,640,000股给民生证券股份有限公司河南分公司用于补充流动资金","质押开始日期2017年7月10日
质押到期日至办理解除质押登记手续之日",已到平仓线,5.83,5.1,9.11,3.46,"8,204.10",99.96,9.32,--,2017/7/18,20180614
