trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
2016-08-17,9.1353,9.2121,9.097,9.1641,9.1353,0.028799999999998604,0.3153,560725.36,534926.047
2016-08-18,9.1737,9.2025,9.049,9.1162,9.1641,-0.047900000000000276,-0.5227,691504.31,658183.955
2016-08-19,9.1066,9.1353,9.049,9.1257,9.1162,0.009500000000000952,0.1042,505334.53,478779.7242
2016-08-22,9.1162,9.1257,8.9818,9.0202,9.1257,-0.10549999999999926,-1.1561,979432.73,922426.4351
2016-08-23,9.001,9.0682,8.9914,9.0202,9.0202,0.0,0.0,890656.73,838185.9006
2016-08-24,9.0298,9.049,9.001,9.049,9.0202,0.028799999999998604,0.3193,732281.27,688971.6831
2016-08-25,9.0394,9.0682,8.9626,9.0586,9.049,0.009600000000000719,0.1061,617389.6,580648.4819
2016-08-26,9.0682,9.0874,9.0202,9.0682,9.0586,0.009599999999998943,0.106,502233.85,473688.0766
2016-08-29,9.0298,9.0682,9.001,9.0394,9.0682,-0.028799999999998604,-0.3176,565231.88,532295.362
2016-08-30,9.0394,9.0874,9.0298,9.0874,9.0394,0.04800000000000004,0.531,595081.23,561854.0663
2016-08-31,9.0778,9.1162,9.049,9.1066,9.0874,0.019199999999999662,0.2113,489746.76,463875.7629
2016-09-01,9.1066,9.1353,9.0394,9.0682,9.1066,-0.0384000000000011,-0.4217,480131.21,454848.6343
2016-09-02,9.049,9.0778,9.0394,9.0682,9.0682,0.0,0.0,368796.33,348054.3671
2016-09-05,9.0778,9.0778,9.0202,9.0394,9.0682,-0.028799999999998604,-0.3176,469936.56,443204.8036
2016-09-06,9.0394,9.049,8.9818,9.0298,9.0394,-0.009600000000000719,-0.1062,574738.33,539813.2836
2016-09-07,9.0298,9.0394,8.9914,9.0202,9.0298,-0.009599999999998943,-0.1063,459373.29,431984.1586
2016-09-08,9.0106,9.0394,9.001,9.0202,9.0202,0.0,0.0,295218.45,277503.7578
2016-09-09,9.0202,9.049,8.9818,9.001,9.0202,-0.019200000000001438,-0.2129,327431.43,307527.2712
2016-09-12,8.9146,8.9434,8.7611,8.7899,9.001,-0.21110000000000007,-2.3453,756581.73,697759.1841
2016-09-13,8.8091,8.8379,8.7707,8.8187,8.7899,0.02880000000000038,0.3276,460931.42,423113.832
2016-09-14,8.7995,8.8091,8.6843,8.6939,8.8187,-0.12480000000000047,-1.4152,421481.25,384081.2665
2016-09-19,8.6843,8.7707,8.6843,8.7515,8.6939,0.05760000000000076,0.6625,354348.7,322575.9259
2016-09-20,8.7515,8.7515,8.6747,8.7131,8.7515,-0.038399999999999324,-0.4388,436678.97,396359.3213
2016-09-21,8.7131,8.7323,8.6651,8.7131,8.7131,0.0,0.0,405665.33,367767.4975
2016-09-22,8.7323,8.8091,8.7227,8.7899,8.7131,0.07679999999999865,0.8814,494613.23,451909.0205
2016-09-23,8.7899,8.8187,8.7707,8.7803,8.7899,-0.009599999999998943,-0.1092,288798.77,264699.5131
2016-09-26,8.7611,8.7611,8.6747,8.6747,8.7803,-0.1056000000000008,-1.2027,439481.86,398771.8649
2016-09-27,8.6747,8.7035,8.6459,8.6939,8.6747,0.019199999999999662,0.2213,401323.67,362769.231
2016-09-28,8.6939,8.6939,8.6651,8.6843,8.6939,-0.009599999999998943,-0.1104,271366.0,245499.4679
2016-09-29,8.6843,8.7131,8.6843,8.6939,8.6843,0.009599999999998943,0.1105,303664.29,275239.6674
2016-09-30,8.6939,8.7323,8.6843,8.7035,8.6939,0.009600000000000719,0.1104,308084.86,279526.4756
2016-10-10,8.7323,8.7995,8.7131,8.7515,8.7035,0.04800000000000004,0.5515,611381.59,557122.2765
2016-10-11,8.7611,8.7803,8.7419,8.7803,8.7515,0.02880000000000038,0.3291,363370.78,331886.5155
2016-10-12,8.7707,8.7899,8.7515,8.7611,8.7803,-0.019199999999999662,-0.2187,270316.2,246995.531
2016-10-13,8.7131,8.7419,8.6843,8.7035,8.7611,-0.05760000000000076,-0.6575,632367.96,574142.4763
2016-10-14,8.6939,8.7227,8.6747,8.7227,8.7035,0.019199999999999662,0.2206,335411.76,304218.6768
2016-10-17,8.7131,8.7227,8.6651,8.6843,8.7227,-0.038399999999999324,-0.4402,359223.16,325582.4503
2016-10-18,8.6651,8.7227,8.6651,8.7227,8.6843,0.038399999999999324,0.4422,593737.09,537784.1204
2016-10-19,8.7227,8.7419,8.6843,8.7131,8.7227,-0.009599999999998943,-0.1101,482636.16,438299.0295
2016-10-20,8.7131,8.7227,8.6843,8.7035,8.7131,-0.009600000000000719,-0.1102,342844.57,310966.0167
