,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,000063.SZ,20190816,28.1,28.66,28.01,28.18,28.37,-0.19000000000000128,-0.6697,828507.8,2345511.006
1,000063.SZ,20190815,27.23,28.64,27.0,28.37,28.67,-0.3000000000000007,-1.0464,1136978.32,3150003.816
2,000063.SZ,20190814,29.47,29.5,28.57,28.67,28.32,0.3500000000000014,1.2359,884797.07,2567049.334
3,000063.SZ,20190813,28.39,28.9,28.04,28.32,28.75,-0.4299999999999997,-1.4957,656572.18,1865142.093
4,000063.SZ,20190812,27.87,28.75,27.4,28.75,27.9,0.8500000000000014,3.0466,1078932.51,3044374.168
5,000063.SZ,20190809,30.33,30.53,27.22,27.9,30.24,-2.34,-7.7381,2264589.91,6421481.867
6,000063.SZ,20190808,30.28,30.49,30.02,30.24,30.17,0.06999999999999673,0.232,516865.64,1563475.397
7,000063.SZ,20190807,30.69,30.97,30.11,30.17,30.5,-0.3299999999999983,-1.082,605187.25,1847940.272
8,000063.SZ,20190806,30.39,30.79,29.57,30.5,31.13,-0.629999999999999,-2.0238,992693.36,2991190.745
9,000063.SZ,20190805,31.39,31.93,30.9,31.13,31.4,-0.2699999999999996,-0.8599,754862.48,2368615.987
10,000063.SZ,20190802,31.61,31.91,30.82,31.4,32.73,-1.3299999999999983,-4.0636,1025096.2,3225287.543
11,000063.SZ,20190801,32.78,33.09,32.63,32.73,32.92,-0.19000000000000483,-0.5772,445680.68,1461778.331
12,000063.SZ,20190731,33.3,33.44,32.89,32.92,33.33,-0.4099999999999966,-1.2301,601307.0,1990274.208
13,000063.SZ,20190730,33.41,33.9,33.13,33.33,33.34,-0.010000000000005116,-0.03,656741.6,2197231.321
14,000063.SZ,20190729,33.49,34.01,33.18,33.34,33.4,-0.05999999999999517,-0.1796,735040.28,2465521.138
15,000063.SZ,20190726,33.1,33.65,32.94,33.4,33.15,0.25,0.7541,790246.03,2632298.892
16,000063.SZ,20190725,32.85,33.46,32.66,33.15,32.71,0.4399999999999977,1.3452,971264.35,3212494.111
17,000063.SZ,20190724,31.86,33.05,31.72,32.71,31.57,1.1400000000000006,3.611,1193079.87,3889294.394
18,000063.SZ,20190723,31.18,31.67,31.11,31.57,31.28,0.28999999999999915,0.9271,443102.47,1394765.412
